"id","name","gender","language","praise_text","meaning","category","keywords"
"12","Abike","female","yoruba","Abíke, ọmọ tí a bí láti tọ́jú, ọmọ tí a gbé lórí ìyàjẹ́,
tí a kò fẹ́ kí ó jìyà, Abíke tí a fi ọwọ́ rọ́ra gbé,
tí a fi ìfẹ́ yí ká, ọmọ tí ìyá ń sunkún ayọ̀ sí,
tí baba ń pe ní ọmọ ìyebíye, Abíke tí kò gbọdọ̀ mọ ìrora ayé,
ọmọ tí a fi aṣọ àlà ṣe ìbọ̀rí, tí a fi ọ̀rọ̀ rere kọ́,
Abíke ẹni tí gbogbo ilé ń bójú tó, tí gbogbo aráyé ń fẹ́ràn,
ọmọ tí a bí láti jẹ́ ayọ̀ ilé, tí kò ní mọ ìnira,
Abíke alárinká tí ń tan ìmọ̀lẹ̀ ìfẹ́, ọmọ tí ìyìn ń tọ̀ lé,
tí ayé ń gbé ga, ọmọ tí kò ní ṣubú nínú ayé,
Abíke ọmọ rere tí gbogbo ènìyàn ń yìn láìdábọ̀.","Child born to be pampered, cherished, and shielded from hardship","precious","care;love;protection;pampered"
"13","Olayemi","female","yoruba","Oláyẹmí, ẹni tí ọlá yẹ mí, ọmọ tí a bí wá sínú ọlá àti ọ̀la,
Oláyẹmí tí ayé ń fi ọlá yìn, tí gbogbo ènìyàn ń fẹ́ràn,
ọmọ tí ìbùkún tẹ̀ lé láti ìkùn, tí a bí láti jẹ́ ìyìn ilé,
Oláyẹmí tí kò mọ ìtìjú, tí ń rìn pẹ̀lú ọlá,
ọmọ tí orí rẹ̀ dára tí ayé gbà, Oláyẹmí ẹni tí ọlá kì í fi sílẹ̀,
tí ìbùkún ń tọ̀ lé ní gbogbo ibi, ọmọ tí a fi ayọ̀ gbé,
tí kò ní ṣubú nínú ayé, Oláyẹmí alárinká tí ń tan ìmọ̀lẹ̀ ọlá,
ọmọ ẹni tí gbogbo ilé ń yìn, tí ayé ń bọ̀wọ̀ fún,
Oláyẹmí tí gbogbo ọjọ́ rẹ̀ kún fún ìrẹ̀lẹ̀ àti ọlá,
ọmọ rere tí kò ní bàjẹ́ láé.","Child whom wealth and honor rightly befit, marked for lasting prosperity","prosperity","honor;wealth;blessing;dignity"
"14","Babatunde","male","yoruba","Babátúndé, ọmọ tí bàbá padà wá inú rẹ̀,
Babátúndé, ọmọ tí ìran baba ńlá ti bọ̀ wá sí ayé lẹ́ẹ̀kan sí i,
Babátúndé, a kì í fi ìtàn ìdílé rẹ̀ ṣe asán,
Babátúndé, ọmọ tí ojú rẹ̀ ń jọ ti àwọn tí ó ti lọ,
Babátúndé, ọmọ tí ẹ̀mí baba ńlá ń bójú tó láti ọ̀run wá,
Babátúndé ọmọ tí ìpadàbọ̀ rẹ̀ jẹ́ ìtùnú ńlá fún ìdílé.","Child believed to embody the returning spirit of a departed father or grandfather","honor","rebirth;ancestor;lineage;father"
"15","Folasade","female","yoruba","Fọláṣadé, ọmọ tí ọlá dé bá wa nípasẹ̀ rẹ̀,
Fọláṣadé, ọmọ tí ìwúwo ọ̀rọ̀ rẹ̀ jẹ́ ọlá àti ìtẹ́,
Fọláṣadé, a kì í fi ọlá rẹ̀ pín láàrin àwọn tí kò yẹ,
Fọláṣadé, ọmọ tí ìran rẹ̀ ń fi ìgbéga hàn ní ọjọ́ gbogbo,
Fọláṣadé ọmọ tí gbogbo ilé ń wò pẹ̀lú ẹ̀yẹ àti ìtara.","Child through whom honor and prosperity have arrived to the family","prosperity","honor;wealth;dignity"
"16","Morenike","female","yoruba","Mọ̀réníkẹ́, ọmọ tí a ń tọ́jú kí a lè ní,
Mọ̀réníkẹ́, ọmọ tí a fi ìrètí ọ̀pọ̀lọpọ̀ ọdún dá,
Mọ̀réníkẹ́, a kì í fi ọmọ tí a retí pẹ́ ṣe ẹlẹ́gbin,
Mọ̀réníkẹ́, ọmọ tí ìdùnnú ilé wà nínú ìdúró rẹ̀,
Mọ̀réníkẹ́ ọmọ tí ìfẹ́ ilé kò lè já sí méjì mọ́.","Long-awaited, cherished child kept and treasured by the family","precious","care;love;longing"
"17","Damilola","unisex","yoruba","Dàmiọ́lá, ọmọ tí ọlá dá mi pọ̀,
Dàmiọ́lá, ọmọ tí ìbùkún fi ara rẹ̀ kún ọjọ́ ìbí rẹ̀,
Dàmiọ́lá, a kì í fi ọlá tí ó dá mi pọ̀ ṣe kékeré,
Dàmiọ́lá, ọmọ tí ilé ń wo bí ìdí ìdàgbàsókè ọrọ̀,
Dàmiọ́lá ọmọ tí orúkọ rẹ̀ jẹ́ ìdúpẹ́ fún ọ̀pọ̀lọpọ̀ ìbùkún.","Child whose arrival added to the family's wealth and honor","blessing","wealth;gratitude;fortune"
"18","Adunni","female","yoruba","Adùnní, ọmọ tí a jọ ń fẹ́, ọmọ dídùn ni,
Adùnní, ọmọ tí a fi ìfẹ́ pọ̀n dà bí a ti ń pọ̀n oyin,
Adùnní, a kì í fi ẹ̀wà rẹ̀ ṣe àìsàn ọ̀rọ̀,
Adùnní, ọmọ tí ẹnu gbogbo ilé dùn sí,
Adùnní ọmọ tí a bí láti fi ìdùnnú kún ayé àwọn tí ó bí i.","Sweet, delightful child cherished by everyone in the household","joy","love;sweetness;delight"
"19","Oyindamola","female","yoruba","Oyindámọ́lá, ọmọ tí oyin dùn mọ́ mi bí ọlá,
Oyindámọ́lá, ọmọ tí ìdùnnú àti ọrọ̀ jọ ń kó sínú ọjọ́ rẹ̀,
Oyindámọ́lá, a kì í fi oyin ìbùkún rẹ̀ ṣe kékeré,
Oyindámọ́lá, ọmọ tí ẹnu ilé dùn sí bí i tí a ń jẹ oyin,
Oyindámọ́lá ọmọ tí ọ̀pọ̀lọpọ̀ ìdùnnú ń tẹ̀lé.","Child for whom sweetness and wealth mingle like honey with honor","joy","sweetness;wealth;delight"
"20","Gbeminiyi","male","yoruba","Gbẹ́miníyì, ọmọ tí a gbé mi ga ní ọjọ́ ìbí,
Gbẹ́miníyì, ọmọ tí ọlá gbé ìgbésí ayé rẹ̀ ró,
Gbẹ́miníyì, a kì í rẹ ẹni tí a ti gbé ga sílẹ̀,
Gbẹ́miníyì, ọmọ tí orúkọ rẹ̀ ń fi ìgbéga hàn níwájú ìjọ,
Gbẹ́miníyì ọmọ tí a bí láti gbé orúkọ ìdílé ga títí láé.","Child who was raised up in honor, meant to elevate the family's standing","honor","honor;elevation;dignity"
"21","Lisabi","all","yoruba","Lisábi Agbaakin, akin tí ó dá ẹgbẹ́ Aro sílẹ̀,
Ọmọ tí ó kó àwọn Ẹgbá jọ, tí ó sì já wọ́n gbà lọ́wọ́ àjàgà Ìbàdàn,
Lisábi, a kì í gbé orúkọ rẹ̀ kalẹ̀ láàrin Ẹgbá,
Akin tí ó fún ìlú ní òmìnira, tí orí rẹ̀ dá gbère,
Lisábi, ọmọ tí ohùn rẹ̀ ru àwọn àgbẹ̀ sókè sí ìjà òmìnira,
Lisábi, a kì í sọ ìtàn ìdìde Ẹgbá kúrò lábẹ́ ọwọ́ àjèjì láì dárúkọ rẹ̀,
Lisábi Agbaakin, ọmọ tí ìrànlọ́wọ́ rẹ̀ jẹ́ ìpìlẹ̀ṣẹ̀ ìṣọ̀kan Ẹgbá.","18th-century Egba warlord who organised the Aro age-grade society and led the Egba struggle for freedom from Oyo/Ibadan overlordship.","oriki_idile","ogun;egba;lineage;warrior"
"22","Sodeke","all","yoruba","Sódẹkẹ Baálogun Ẹgbá, ọmọ tí ó darí ìṣíkiri ńlá,
Ọmọ tí ó rí Olúmọ, tí ó sì gbé Ẹgbá karí lábẹ́ àpáta,
Sódẹkẹ, akin tí orúkọ rẹ̀ so pọ̀ mọ́ ìpilẹ̀ṣẹ̀ Abéòkúta,
A kì í sọ ìtàn ìṣílọ Ẹgbá láì dárúkọ Sódẹkẹ,
Sódẹkẹ, ọmọ tí ó tọ́ ọ̀nà àbò fún àwọn ìran tí ń bọ̀,
Sódẹkẹ Baálogun, a kì í gbàgbé ojú rẹ̀ nínú ìtàn Abéòkúta.","First Balogun (war leader) of the Egba, remembered for leading the people to Olumo Rock and founding Abeokuta around 1830.","oriki_idile","ogun;egba;lineage;abeokuta"
"23","Fagbemi","all","yoruba","Fágbẹ́mi, ọmọ tí Ifá gbé là,
Ọmọ tí ìmọ̀ àgbà ń tọ́ka ọ̀nà rẹ̀,
Fágbẹ́mi ọmọ Ẹgbá tí ìṣọ́ Ifá bò mọ́ra,
A kì í fi ọmọ tí Ifá ń ṣọ́ wé ọmọ tí kò ní ààbò,
Fágbẹ́mi, ọmọ tí àṣẹ Ifá ń tọ̀ lé láti orí dé ẹsẹ̀,
Fágbẹ́mi, a kì í rí ìdílé rẹ̀ láì rí àmì ìṣọ́ ọ̀run.","Egba lineage name meaning 'Ifa carried/saved me', invoking the guidance and protection of the Ifa oracle over the family.","oriki_idile","ogun;egba;lineage;ifa"
"24","Kuku","all","yoruba","Kùkú ọmọ ilé Ìjẹ̀bú Ọdẹ, akin oníṣòwò àti ológun,
Ọmọ tí orúkọ rẹ̀ dúró fún agbára àti ọrọ̀ láàrin àwọn Ìjẹ̀bú,
Kùkú, a kì í kọjá lọ láì kí ilé ńlá rẹ̀ ní Ìjẹ̀bú,
Kùkú, ọmọ tí òwò rẹ̀ gbilẹ̀ dé etí òkun àti ìpínlẹ̀ mìíràn,
Kùkú, ọmọ tí agbára rẹ̀ àti ọ̀wọ̀ ń rìn pọ̀ ní ìlú Ìjẹ̀bú.","Prominent Ijebu Ode chieftaincy family known historically for both military strength and trading influence in Ijebuland.","oriki_idile","ogun;ijebu;lineage;trade"
"25","Fusengbuwa","all","yoruba","Fúsẹ́ngbúwà, ọmọ ilé ọlá ní Ìjẹ̀bú,
Ọmọ tí a kò lè fi ọ̀rọ̀ àìmọ̀kan bù kù,
Fúsẹ́ngbúwà, ẹni tí ìtàn ìdílé rẹ̀ jìn sí Ìjẹ̀bú Ọdẹ àtijọ́,
Fúsẹ́ngbúwà, a kì í fi ipò ìdílé rẹ̀ ṣe àìnítumọ̀,
Fúsẹ́ngbúwà, ọmọ tí àwọn àgbà Ìjẹ̀bú ń gbé ka orúkọ ọlá.","An Ijebu lineage name whose family history is rooted deep in the traditional chieftaincy structure of Ijebu Ode.","oriki_idile","ogun;ijebu;lineage"
"26","Awujale","all","yoruba","Awùjalẹ̀, orúkọ oyè Ọba Ìjẹ̀bú,
Ọmọ tí ń jókòó lórí ìtẹ́ tí Ọbanta fi sílẹ̀,
Awùjalẹ̀, ẹni tí ọrọ̀ rẹ̀ jẹ́ òfin láàrin Ìjẹ̀bú gbogbo,
A kì í dá Ìjẹ̀bú mọ̀ láì dárúkọ ipò Awùjalẹ̀,
Awùjalẹ̀, ọba tí ade rẹ̀ ti kọjá ọ̀rúndún méjì,
Awùjalẹ̀, a kì í wọ inú ìlú Ìjẹ̀bú Ọdẹ láì kí ìtẹ́ rẹ̀.","The royal title of the traditional king (Oba) of Ijebuland, whose stool traces to the legendary founder Obanta.","oriki_idile","ogun;ijebu;lineage;royalty"
"27","Akarigbo","all","yoruba","Akaríìgbò, orúkọ oyè Ọba Rémọ ní Sàgámù,
Ọmọ tí ń darí gbogbo ìlú Rémọ ní ìṣọ̀kan,
Akaríìgbò, ẹni tí adé rẹ̀ ti kọjá ọ̀pọ̀ ọ̀rúndún,
A kì í dárúkọ Rémọ láì kí ìtẹ́ Akaríìgbò,
Akaríìgbò, ọba tí ìjọba rẹ̀ so àwọn ìlú Rémọ pọ̀ mọ́ ara wọn.","The royal title of the paramount ruler of Remoland, seated in Sagamu, unifying the Remo Yoruba communities.","oriki_idile","ogun;remo;lineage;royalty"
"28","Solarin","all","yoruba","Solárin, ọmọ ilé Rémọ tí ẹ̀kọ́ jẹ́ àsíá rẹ̀,
Ọmọ tí ó fi ìgboyà kọ́ ọmọ Yorùbá ní ìtumọ̀ òtítọ́,
Solárin, orúkọ tí a kì í yà kúrò nínú ìtàn ẹ̀kọ́ ìgbàlódé Rémọ,
Solárin, ọmọ tí ìdálẹ́kọ̀ọ́ jẹ́ ohun ìjà rẹ̀ fún òdodo,
Solárin, a kì í sọ ìtàn ìjà fún ìdọ́gba ẹ̀kọ́ láì dárúkọ rẹ̀.","A Remo family name associated with pioneering, courageous educators who reshaped modern Yoruba schooling.","oriki_idile","ogun;remo;lineage;education"
"29","Salako","all","yoruba","Saláko, ọmọ ilé Yewá tí a bí sínú aṣọ ìbílẹ̀,
Ọmọ tí orúkọ rẹ̀ ń jẹ́rìí sí ọ̀nà ìbí àkànṣe,
Saláko, a kì í fi ẹ̀gbọ́n rẹ̀ pè láì mọ ìdí orúkọ náà,
Saláko, ọmọ tí a kà sí àmì àyànmọ́ pàtàkì láti ìgbà ìbí,
Saláko, ọmọ tí ìdílé Yewá ń gbé kalẹ̀ pẹ̀lú ọ̀wọ̀ àkànṣe.","An Egbado/Yewa lineage name traditionally given to a child born with the amniotic caul, seen as a mark of destiny.","oriki_idile","ogun;yewa;lineage"
"30","Odugbemi","all","yoruba","Odùgbẹ́mi, ọmọ tí àyànmọ́ gbé dé ibùdó,
Ọmọ ilé Yewá tí a fi ìrètí sun sí,
Odùgbẹ́mi, a kì í rẹ̀wẹ̀sì sí ìdílé rẹ̀,
Odùgbẹ́mi, ọmọ tí ìrìn àjò ayé rẹ̀ dópin sí ààbò àti ìsinmi,
Odùgbẹ́mi, ọmọ tí ìdílé rẹ̀ kì í padà sẹ́yìn níwájú ìṣòro.","Egba/Yewa lineage name meaning roughly 'destiny brought me to a safe resting place,' carrying hope and settlement.","oriki_idile","ogun;yewa;lineage"
"31","Adeyemi","all","yoruba","Adéyẹmí, ọmọ tí adé yẹ mí ní ìdílé Aláàfin,
Ọmọ tí ìtẹ́ Ọ̀yọ́ ń bá a lò,
Adéyẹmí, a kì í fi ọlá rẹ̀ wé ti ẹlòmíràn,
Ọmọ oyè tí ade kì í fi sílẹ̀,
Adéyẹmí, ọmọ tí ìtàn ìtẹ́ Ọ̀yọ́ ń kọ́ orúkọ rẹ̀ sínú òkúta ìrántí,
Adéyẹmí, a kì í fi ọba mìíràn dípò rẹ̀ láàrin Ọ̀yọ́ ìjọba.","An Oyo royal lineage name meaning 'the crown befits me,' historically linked to the Alaafin's ruling household.","oriki_idile","oyo;lineage;royalty"
"32","Balogun","all","yoruba","Baálogun, orúkọ oyè ológun ní Ọ̀yọ́,
Ọmọ tí ń darí ẹgbẹ́ ogun ìlú ní ìjà,
Baálogun, a kì í jẹ́ ojo nínú ogun,
A kì í dárúkọ ìjọba Ọ̀yọ́ láì mẹ́nu kan oyè Baálogun,
Baálogun, ọmọ tí àpáta jẹ́ ìsàlẹ̀ ẹsẹ̀ rẹ̀ nínú ìjà,
Baálogun, a kì í fi ẹ̀gbẹ́ ogun sílẹ̀ láì borí.","A war-chief title in old Oyo, the office responsible for commanding the town's military forces in battle.","oriki_idile","oyo;lineage;warrior"
"33","Afonja","all","yoruba","Afọ́njá, Àrẹ̀-Ọ̀nà-Kakanfò ìjọba Ọ̀yọ́,
Ọmọ akíkanjú tí ó gbé Ìlọrin karí,
Afọ́njá, orúkọ tí ìtàn Ọ̀yọ́ kò lè gbàgbé,
A kì í sọ ìtàn ìṣubú Ọ̀yọ́ láì dárúkọ Afọ́njá,
Afọ́njá, ọmọ tí agbára rẹ̀ yí ìtàn ìjọba Ọ̀yọ́ padà láéláé,
Afọ́njá, a kì í sọ orúkọ Ìlọrin láì rántí ìpilẹ̀ṣẹ̀ rẹ̀.","Powerful Oyo military generalissimo (Are-Ona-Kakanfo) who established Ilorin, a pivotal figure in Old Oyo's history.","oriki_idile","oyo;lineage;warrior;ilorin"
"34","Agunbiade","all","yoruba","Agúnbíadé, ọmọ jagunjagun ilé ọba Ọ̀yọ́,
Ọmọ tí a bí sí abẹ́ adé, tí ogun jẹ́ iṣẹ́ rẹ̀,
Agúnbíadé, a kì í fi ojo wé akin,
Agúnbíadé, ọmọ tí ọwọ́ rẹ̀ dá ohun ìjà ìjọba Ọ̀yọ́,
Agúnbíadé, a kì í fi ìjà ilé ọba sílẹ̀ láì kópa.","An Oyo warrior lineage name, meaning 'the war ornament that suits royalty,' tied to the palace's fighting men.","oriki_idile","oyo;lineage;warrior"
"35","Adegoke","all","yoruba","Adégòkè, ọmọ tí adé gbé ga,
Ọmọ ilé ọlá tí orúkọ rẹ̀ ń jinde,
Adégòkè, a kì í ríjìn nínú àwùjọ ọlá,
Adégòkè, ọmọ tí ìdílé rẹ̀ ń gòkè lọ láti ìran dé ìran,
Adégòkè, a kì í fi ìdílé rẹ̀ padà sí ipò kékeré.","An Oyo lineage name meaning 'the crown has been raised high,' signifying rising honor within the royal family.","oriki_idile","oyo;lineage"
"36","Ajayi","all","yoruba","Àjàyí, ọmọ tí ojú rẹ̀ kọ sí ilẹ̀ nígbà ìbí,
Ọmọ Ọ̀yọ́ tí ìtàn rẹ̀ dé Òkun àti Òkè,
Àjàyí, orúkọ tí ó ti Òsogùn dé àgbáyé,
Àjàyí, ọmọ tí ìrìn àjò rẹ̀ kọjá odò àti òkun ńlá,
Àjàyí, a kì í sọ ìtàn ẹ̀sìn àti ẹ̀kọ́ ní Ìwọ̀-Afíríkà láì dárúkọ rẹ̀.","An Oyo lineage name traditionally given to a child born face-down; notably borne by Bishop Ajayi Crowther, born in Osogun.","oriki_idile","oyo;lineage"
"37","Akintola","all","yoruba","Akíntọlá, akin tí ọrọ̀ tọ̀ ọ́ lẹ́yìn,
Ọmọ ìjọba tí ó darí ìjọba Ìwọ̀-oòrùn,
Akíntọlá, a kì í fi orúkọ rẹ̀ ṣeré,
Akíntọlá, ọmọ tí ìjà òṣèlú kò lè yí ìdúró rẹ̀ padà,
Akíntọlá, a kì í sọ ìtàn ìjọba Ìwọ̀-oòrùn láì mẹ́nu kan rẹ̀.","An Oyo lineage name meaning 'the brave one whom wealth follows,' notably borne by a former Premier of Western Nigeria.","oriki_idile","oyo;lineage;politics"
"38","Akinola","all","yoruba","Akínọlá, ọmọ akin tí ọlá ń tọ̀ lé,
Ọmọ ilé Ọ̀yọ́ tí a kì í rẹ̀wẹ̀sì,
Akínọlá, a kì í ṣubú nínú ìjà ọlá,
Akínọlá, ọmọ tí ìgboyà rẹ̀ ń fún ìdílé ní àyè láàrin ìjọ ńlá,
Akínọlá, a kì í fi ìjà sílẹ̀ láì borí.","An Oyo lineage name meaning 'bravery accompanied by honor,' given to sons expected to carry the family's dignity.","oriki_idile","oyo;lineage"
"39","Basorun","all","yoruba","Bàṣọ̀run, orúkọ oyè olóyè-ńlá ní Ọ̀yọ́,
Ọmọ tí ń bá Aláàfin gbìmọ̀ ìjọba,
Bàṣọ̀run, a kì í jẹ́ ẹni kejì láì lágbára,
A kì í sọ ìtàn ìjọba Ọ̀yọ́ láì dárúkọ ipò Bàṣọ̀run,
Bàṣọ̀run, ọmọ tí ọ̀rọ̀ rẹ̀ ní ìwúwo bí ti Aláàfin fúnra rẹ̀,
Bàṣọ̀run, a kì í ṣàìsí nínú ìgbìmọ̀ Ọ̀yọ́ Mèsì.","A senior kingmaker title in Old Oyo, the highest-ranking chief of the Oyo Mesi council advising the Alaafin.","oriki_idile","oyo;lineage;chieftaincy"
"40","Olubadan","all","yoruba","Olúbàdàn, orúkọ oyè Ọba Ìbàdàn,
Ọmọ tí ń darí ìlú akin láti ipasẹ̀ ológun sí ipò ọba,
Olúbàdàn, a kì í dé ipò rẹ̀ láì la ipasẹ̀ ìjà kọjá,
Olúbàdàn, ọba tí ìjọba rẹ̀ gbé àwọn akin lárugẹ,
Olúbàdàn, a kì í fi ipò rẹ̀ jogún láì ti gba oyè kékeré wá.","The traditional ruler's title of Ibadan, unique in Yorubaland for being attained through a line of military and civil chieftaincy ranks.","oriki_idile","oyo;lineage;ibadan"
"41","Ooni","all","yoruba","Ọọ̀ni, orúkọ oyè Ọba Ilé-Ifẹ̀,
Ọmọ tí ń jókòó lórí ìtẹ́ Odùduwà,
Ọọ̀ni, baálẹ̀ àwọn ọba Yorùbá gbogbo,
A kì í sọ ìtàn ìpilẹ̀ṣẹ̀ Yorùbá láì dárúkọ ipò Ọọ̀ni,
Ọọ̀ni, ẹni tí gbogbo adé Yorùbá ti orí rẹ̀ ti wá,
Ọọ̀ni, a kì í fi ọlá Ifẹ̀ sílẹ̀ láàrin ìjọ ọba ilẹ̀ Yorùbá.","The royal title of the traditional king of Ile-Ife, the spiritual cradle of the Yoruba people and the throne of Oduduwa.","oriki_idile","osun;lineage;royalty;ife"
